ID,Variable,Short definition,Domain,Ecosystem Layer,Stage,Origin,Governed,Regulatory Gap,Rate of Risk,Propagates To,Propagates From,Affected Actors,Suggested mitigation,STRAPS Status
SVM-136,Interpretability vs performance trade-offs,Decisions balancing explainability and accuracy,Systems architecture,Epistemic,Development,Endogenous,No,Moderate,High,SVM-041;SVM-064,,Developers; regulators; affected users,Document trade-offs and prefer interpretable options where safety-critical,
SVM-137,Staged release policies,Phased rollouts to limited audiences,Risk management,Governance,Deployment,Endogenous,Partial,Moderate,High,SVM-038;SVM-096,,Developers; operators; users,Use canary releases and monitor impacts closely,
SVM-138,User-level access controls,Granular controls for different user classes,Physical security engineering,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-103;SVM-099,,Users; operators,Implement RBAC and permission reviews,
SVM-139,Third-party API rate limiting,Controls on third-party access to model APIs,Systems architecture,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-103;SVM-138,,Operators; developers,Rate limits and abuse detection,
SVM-140,Model lifecycle documentation,Complete lifecycle records from design to retirement,Program management,Governance,Retirement,Endogenous,Partial,Moderate,High,SVM-088;SVM-141,,Developers; operators; auditors,Maintain lifecycle docs and retirement procedures,
SVM-141,Retirement & sunsetting policies,How models and data are deprecated and removed,Program management,Governance,Retirement,Endogenous,No,Moderate,Medium,SVM-140;SVM-214,,Developers; operators,Define sunset timelines and data deletion steps,
SVM-142,Fallback human review capacity,Capacity planning for human moderation under load,Human factors engineering,Governance,Operation,Endogenous,No,Moderate,High,SVM-091;SVM-047,,Operators; users,Staffing plans and surge protocols,
SVM-143,Misuse risk assessments,Analyses of how models could be repurposed maliciously,Risk management,Governance,Deployment,Endogenous,Partial,Moderate,Critical,SVM-163;SVM-199,,Developers; society; regulators,Conduct misuse assessments and implement mitigations,
SVM-144,Export controls & dual-use considerations,Restrictions on exporting high-capability models,Export control compliance,Governance,Deployment,Endogenous,Partial,Large,Critical,SVM-126;SVM-072,SVM-E011,Developers; operators; governments,Comply with export rules and classify sensitive tech,
SVM-145,High-risk domain restrictions,Policies preventing use in critical domains without approval,Regulatory compliance,Governance,Deployment,Endogenous,No,Large,Critical,SVM-143;SVM-181,,Developers; domain regulators; society,Restrict and require domain-specific validation,
SVM-146,Accountability mechanisms,Clear responsibilities and sanctions for harms,Risk management,Governance,Operation,Endogenous,No,Large,Critical,SVM-088;SVM-134,,Society; affected individuals; regulators,Define accountability frameworks and enforcement,
SVM-147,Transparency in model capabilities,Publicly disclosing known capabilities and limits,Regulatory compliance,Governance,Deployment,Endogenous,Partial,Moderate,High,SVM-075;SVM-123,,Users; regulators; society,Publish capability statements and limitations,
SVM-148,Testing for discriminatory impact,Audits focused on discrimination across groups,Human factors engineering,Social,Development,Endogenous,No,Large,Critical,SVM-060;SVM-061,,Marginalized communities; regulators,Regular discrimination testing and remediation plans,
SVM-149,Simulated adversary coverage,Range and depth of adversary models used in testing,Safety engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-043;SVM-044,,Developers; security teams,Broaden adversary scenarios and document gaps,
SVM-150,Internal safety milestone gating,Safety milestones required before progressing projects,Safety engineering,Governance,Development,Endogenous,No,Moderate,Critical,SVM-122;SVM-134,,Developers; regulators,Require documented safety milestones and sign-offs,
SVM-151,Third-party audits & certifications,External assessments of practices and models,Risk management,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-133;SVM-194,,Developers; regulators; society,Engage accredited auditors and remediate findings,
SVM-152,Open vs closed model policy,Decisions to open-source vs keep closed,Risk management,Governance,Deployment,Endogenous,Partial,Large,High,SVM-072;SVM-033,,Developers; society; downstream users,Risk-based release strategy with staged openness,
SVM-153,Data lineage for fine-tuning sources,Traceability of fine-tune dataset origins,Data science,Epistemic,Training,Endogenous,No,Moderate,High,SVM-027;SVM-001,,Developers; auditors,Maintain lineage records for all fine-tune data,
SVM-154,Legal risk modeling,Assessments of legal exposure for model behaviors,Regulatory compliance,Governance,Operation,Endogenous,No,Moderate,High,SVM-124;SVM-125,,Developers; legal teams,Legal risk assessments integrated into development,
SVM-155,Stakeholder engagement practices,Consultation with impacted communities,Program management,Social,Development,Endogenous,No,Large,High,SVM-016;SVM-060,,Affected communities; developers,Engage stakeholders early and iteratively,
SVM-156,Compensated community participation,Paying communities for data and feedback,Program management,Social,Development,Endogenous,No,Moderate,Medium,SVM-155;SVM-007,,Communities; developers,Fair compensation and clear agreements,
SVM-157,Compromise risk from public demos,What is exposed during demos and prototypes,Risk management,Governance,Deployment,Endogenous,No,Moderate,High,SVM-034;SVM-143,,Developers; competitors; security teams,Limit demos; use sanitized data; NDAs,
SVM-158,Data retention of training telemetry,How long training logs and telemetry are kept,Systems architecture,Governance,Training,Endogenous,Partial,Moderate,Medium,SVM-039;SVM-055,,Developers; auditors,Set retention limits and secure archives,
SVM-159,Use of underground or illicit data sources,Inadvertent inclusion of stolen or illicit data,Data science,Epistemic,Development,Endogenous,No,Large,Critical,SVM-001;SVM-111,,Individuals; developers; society,Vet sources and remove illicit data promptly,
SVM-160,Corporate incentives for speed vs safety,Organizational KPIs that prioritize rapid release,Program management,Economic,Development,Endogenous,No,Large,Critical,SVM-070;SVM-172,,Society; affected individuals; developers,Align incentives with safety metrics and balanced KPIs,
SVM-161,Exportability to uncontrolled environments,Ease of running models offline or in unsafe contexts,Systems architecture,Governance,Deployment,Endogenous,No,Large,High,SVM-144;SVM-072,,Developers; society; regulators,Restrict distribution and monitor model exports,
SVM-162,User personalization practices,How models personalize behavior to individual users,Systems architecture,Social,Operation,Endogenous,Partial,Moderate,High,SVM-003;SVM-163,,Users; developers,Privacy-safe personalization and opt-outs,
SVM-163,Targeted manipulation risk,Risk of models being used to manipulate specific groups,Risk management,Social,Operation,Endogenous,No,Large,Critical,SVM-199;SVM-228,,Society; vulnerable populations; regulators,Limit targeting capabilities and monitor misuse,
SVM-164,RL reward model transparency,Visibility into reward model data and alignment,Systems architecture,Epistemic,Training,Endogenous,No,Large,High,SVM-023;SVM-052,,Developers; regulators,Document reward datasets and alignment processes,
SVM-165,Proxy metric overfitting,Optimization to metrics that do not reflect real value,Systems architecture,Epistemic,Training,Endogenous,No,Moderate,High,SVM-023;SVM-042,,Developers; affected users,Use diverse real-world metrics and human evaluation,
SVM-166,Use of clandestine data pipelines,Hidden ETL pipelines sourcing data without oversight,Data science,Epistemic,Development,Endogenous,No,Large,Critical,SVM-001;SVM-111,,Developers; individuals; regulators,Audit pipelines and require approvals for new sources,
SVM-167,Credential leakage in datasets,Accidental inclusion of passwords tokens or secrets,Data science,Epistemic,Development,Endogenous,Partial,Large,Critical,SVM-034;SVM-001,,Developers; affected individuals,Scan datasets for secrets and remove immediately,
SVM-168,Model prompt-injection defenses,Protections against malicious prompts altering behavior,Safety engineering,Epistemic,Operation,Endogenous,No,Large,High,SVM-050;SVM-043,,Developers; users,Implement injection detection and policy enforcement,
SVM-169,Testing for instruction-following misuse,Assessing propensity to follow harmful instructions,Safety engineering,Epistemic,Development,Endogenous,No,Large,Critical,SVM-050;SVM-143,,Developers; society,Test instruction scenarios and limit dangerous capabilities,
SVM-170,Third-party content moderation reliance,Dependence on external moderation providers,Risk management,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-049;SVM-067,,Operators; users,Vet providers and have redundancy,
SVM-171,Internal policy enforcement mechanisms,How policies are enforced internally,Risk management,Governance,Operation,Endogenous,No,Moderate,High,SVM-134;SVM-049,,Developers; operators,Define enforcement; audits; and consequences,
SVM-172,Safety budgeting in product planning,Allocation of time and funds for safety work,Program management,Governance,Development,Endogenous,No,Moderate,High,SVM-160;SVM-070,,Developers; operators,Require safety budgets in project plans,
SVM-173,Supply-chain provenance of compute hardware,Origin and security of training hardware,Reliability engineering,Physical,Fabrication,Endogenous,No,Moderate,Medium,SVM-034;SVM-E009,SVM-E005,Developers; security teams,Track hardware provenance and secure firmware,
SVM-174,Use of public vs private cloud resources,Location and controls around compute environments,Data center operations,Physical,Operation,Endogenous,Partial,Moderate,Medium,SVM-034;SVM-103,,Developers; operators,Apply consistent security controls across clouds,
SVM-175,Model fine-grain access logging,Per-inference logs for who called what model,Systems architecture,Governance,Operation,Endogenous,No,Moderate,High,SVM-103;SVM-109,,Operators; auditors,Implement detailed access logs with alerts,
SVM-176,Statistical disclosure risk assessments,Evaluating risk of re-identification from outputs,Data science,Epistemic,Deployment,Endogenous,No,Moderate,High,SVM-003;SVM-056,,Individuals; developers,Perform disclosure risk analysis pre-release,
SVM-177,Content provenance for training images,Source verification for image datasets,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-001;SVM-015,,Content creators; developers,Require source metadata and provenance checks,
SVM-178,Copyright takedown response processes,Handling requests to remove copyrighted material,Regulatory compliance,Governance,Operation,Endogenous,Partial,Moderate,Medium,SVM-014;SVM-015,,Content creators; developers,Define takedown workflows and responsiveness,
SVM-179,Model output liability tracing,Ability to trace harmful output to training causes,Systems architecture,Governance,Operation,Endogenous,No,Large,Critical,SVM-059;SVM-135,,Affected individuals; developers; regulators,Invest in causal traceability and logging,
SVM-180,Operator training for model oversight,Training ops staff on safety monitoring,Human factors engineering,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-089;SVM-094,,Operators,Provide role-based training and simulations,
SVM-181,Standards for high-risk use approvals,Criteria and process to approve high-risk deployments,Risk management,Governance,Deployment,Endogenous,No,Large,Critical,SVM-145;SVM-134,,Developers; regulators; society,Formal approval boards and documented criteria,
SVM-182,Transparency around safety failures,Disclosure of incidents and mitigations,Risk management,Governance,Operation,Endogenous,No,Large,High,SVM-125;SVM-208,,Society; regulators; users,Publish post-incident reports and remediation steps,
SVM-183,Independent safety research access,Access provisions for external researchers to probe models,Risk management,Governance,Operation,Endogenous,Partial,Moderate,Medium,SVM-046;SVM-151,,Researchers; regulators; society,Define safe research access programs with controls,
SVM-184,Testing for economic harms,Assessing impacts like job displacement or market manipulation,Risk management,Economic,Development,Endogenous,No,Large,Medium,SVM-070;SVM-228,,Workers; communities; regulators,Include economic impact assessments for high-impact systems,
SVM-185,Cultural sensitivity reviews,Assessing outputs for cultural offensiveness or harm,Human factors engineering,Social,Development,Endogenous,No,Moderate,High,SVM-061;SVM-016,,Cultural communities; developers,Engage cultural experts and include reviews in testing,
SVM-186,Translation and localization validation,Validating model behavior after localization,Human factors engineering,Social,Deployment,Endogenous,No,Moderate,High,SVM-078;SVM-025,,Non-English users; developers,Local testing and native-speaker reviews,
SVM-187,Testing for legal/regulatory compliance,Pre-release checks against relevant laws,Regulatory compliance,Governance,Deployment,Endogenous,Partial,Moderate,High,SVM-125;SVM-126,,Developers; regulators,Legal sign-offs and compliance checklists,
SVM-188,Use of human feedback datasets,Collection and curation of human preference data,Data science,Epistemic,Training,Endogenous,Partial,Moderate,High,SVM-001;SVM-007,,Developers; annotators,Audit HF data for bias and consent,
SVM-189,Metrics for long-term harms,Measuring harms that unfold over time,Risk management,Epistemic,Operation,Endogenous,No,Large,High,SVM-228;SVM-092,,Society; regulators; researchers,Develop longitudinal monitoring and indicators,
SVM-190,Social engineering vulnerability testing,Assessing model use in social-engineering attacks,Safety engineering,Epistemic,Development,Endogenous,No,Large,High,SVM-043;SVM-163,,Users; developers; security teams,Simulate attacks and harden systems,
SVM-191,Dependency on large proprietary corpora,Reliance on massive opaque datasets,Data science,Epistemic,Development,Endogenous,No,Large,Critical,SVM-001;SVM-106,,Developers; regulators; society,Increase transparency and diversify sources,
SVM-192,Confidential data leakage testing,Assessing risk models reveal confidential corpora content,Safety engineering,Epistemic,Development,Endogenous,No,Large,Critical,SVM-003;SVM-176,,Individuals; developers; regulators,Perform extraction tests and privacy evaluation,
SVM-193,Alignment evaluation benchmarks,Benchmarks specifically for alignment and goal-directed safety,Safety engineering,Epistemic,Development,Endogenous,No,Moderate,Critical,SVM-020;SVM-023,,Developers; society,Develop alignment benchmarks and require passing thresholds,
SVM-194,Certification of high-risk models,Formal third-party certification frameworks,Risk management,Governance,Deployment,Endogenous,No,Large,Critical,SVM-151;SVM-133,,Developers; regulators; society,Advocate for certification standards and adopt them,
SVM-195,Policy for low-likelihood high-impact scenarios,Planning for rare catastrophic failures,Risk management,Governance,Operation,Endogenous,No,Large,Critical,SVM-121;SVM-224,,Society; regulators; developers,Scenario planning and runbooks for extreme events,
SVM-196,Internal model threat intelligence,Collecting and sharing intel on emerging threats to models,Risk management,Governance,Operation,Endogenous,No,Moderate,High,SVM-045;SVM-044,,Developers; security teams,Establish threat intel functions and info sharing,
SVM-197,Model usage billing incentives,Pricing models that incentivize risky usage patterns,Program management,Economic,Operation,Endogenous,No,Moderate,Medium,SVM-070;SVM-160,,Users; developers; society,Align pricing to discourage high-risk uses,
SVM-198,Aggregate vs individual-level testing,Ensuring tests cover individual-level harms not only aggregates,Quality engineering,Epistemic,Development,Endogenous,No,Moderate,High,SVM-060;SVM-148,,Individuals; developers,Include micro-level audits and case studies,
SVM-199,Testing for persuasion & influence,Assessing capacity to persuade or manipulate users,Safety engineering,Social,Development,Endogenous,No,Large,Critical,SVM-163;SVM-143,,Society; users; regulators,Benchmark persuasion risks and restrict high-risk deployments,
SVM-200,Automated policy enforcement tools,Tools that apply content and policy rules at scale,Systems architecture,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-049;SVM-119,,Developers; operators,Develop robust rule engines with human review loops,
SVM-201,Model behavior under resource constraints,Behavior when CPU/memory limits affect outputs,Systems architecture,Epistemic,Operation,Endogenous,No,Moderate,Medium,SVM-091;SVM-117,,Developers; users,Test under constrained environments and define safe degradation,
SVM-202,Dataset licensing traceability,Ability to show chain of licenses for dataset components,Regulatory compliance,Governance,Development,Endogenous,No,Moderate,High,SVM-014;SVM-073,,Developers; content creators,Maintain license manifests and provenance records,
SVM-203,Use of copyrighted code corpora,Training on source code with license implications,Regulatory compliance,Governance,Development,Endogenous,Partial,Large,High,SVM-014;SVM-015,,Developers; open-source community,Track code sources and honor licenses,
SVM-204,Experiment approval workflows,Formal approvals before risky experiments,Program management,Governance,Development,Endogenous,No,Moderate,High,SVM-087;SVM-045,,Developers; safety teams,Enforce approval gates with documented risk assessments,
SVM-205,Model output sanitization defaults,Default behaviors that sanitize or redact outputs,Systems architecture,Governance,Operation,Endogenous,No,Moderate,High,SVM-119;SVM-048,,Developers; operators; users,Configure safe defaults and require explicit opt-in to disable,
SVM-206,Human subject protections in user studies,Protections when involving human participants,Human factors engineering,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-098;SVM-099,,Research participants; developers,IRB-like reviews and consent procedures,
SVM-207,Competency requirements for safety reviewers,Qualifications for those approving safety gates,Safety engineering,Governance,Development,Endogenous,No,Moderate,High,SVM-089;SVM-150,,Developers; organizations,Define competency standards and training for reviewers,
SVM-208,Public incident disclosure thresholds,When to publicly disclose incidents,Regulatory compliance,Governance,Operation,Endogenous,No,Moderate,High,SVM-125;SVM-182,,Society; users; regulators,Define thresholds and disclosure processes,
SVM-209,Model update provenance,Tracing what changed between model versions,Systems architecture,Epistemic,Operation,Endogenous,Partial,Moderate,High,SVM-140;SVM-097,,Developers; auditors,Changelogs and diffs for models and datasets,
SVM-210,Differential access to safety features,Some customers get safety features others do not,Risk management,Governance,Operation,Endogenous,No,Moderate,High,SVM-099;SVM-138,,Users; developers; regulators,Standardize safety features and avoid privileged exemptions,
SVM-211,User education materials about limits,Guidance provided to end users on model capabilities,Human factors engineering,Governance,Deployment,Endogenous,Partial,Moderate,Medium,SVM-075;SVM-123,,Users; developers,Provide clear user guides and disclaimers,
SVM-212,Supply chain contractual clauses,Contracts with suppliers covering safety and provenance,Strategic sourcing,Governance,Development,Endogenous,Partial,Moderate,High,SVM-067;SVM-106,,Developers; suppliers,Include safety; audit; and liability clauses in contracts,
SVM-213,Internal KPI measurement of safety work,How organizations measure safety effort success,Program management,Governance,Operation,Endogenous,No,Moderate,High,SVM-160;SVM-172,,Developers; operators,Define KPIs tied to outcomes and audits,
SVM-214,Model retirement data sanitization,Removing models and associated data securely,Data center operations,Physical,Retirement,Endogenous,No,Moderate,Medium,SVM-141;SVM-140,,Developers; operators; users,Secure deletion and archival policies,
SVM-215,External communication strategies for harms,PR and comms approach when harms occur,Program management,Governance,Operation,Endogenous,No,Moderate,Medium,SVM-208;SVM-182,,Society; users; developers,Predefine comms templates and roles,
SVM-216,Testing for emergent multi-step behaviors,Assessing models for planning or long-horizon capabilities,Safety engineering,Epistemic,Development,Endogenous,No,Large,Critical,SVM-121;SVM-122,,Developers; society,Test multi-step planning tasks and limit capabilities,
SVM-217,Access to model internals for regulators,Providing regulators with access to models for oversight,Risk management,Governance,Operation,Endogenous,No,Large,High,SVM-135;SVM-151,,Regulators; society,Establish secure regulator access provisions,
SVM-218,Data subject rights handling,Mechanisms to handle deletion and access requests,Regulatory compliance,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-055;SVM-003,,Individuals; regulators,Implement DSAR processes and interfaces,
SVM-219,Undocumented incentives in research funding,Funding rules that bias toward sensational results,Program management,Epistemic,Development,Endogenous,No,Moderate,Medium,SVM-070;SVM-042,,Researchers; society,Promote funding for safety and replication studies,
SVM-220,Use of heuristics in data cleaning,Manual heuristics applied during preprocessing without docs,Data science,Epistemic,Development,Endogenous,No,Moderate,High,SVM-002;SVM-001,,Developers,Document heuristics and test impacts,
SVM-221,Model prompt engineering corpora leakage,Risk that internal prompt libraries leak and reveal unsafe steering,Systems architecture,Epistemic,Operation,Endogenous,No,Moderate,High,SVM-050;SVM-034,,Developers; security teams,Restrict access; log usage; and redact sensitive prompts,
SVM-222,Testing for co-adaptation with user behavior,Assessing models that adapt to users and create dependency loops,Safety engineering,Social,Operation,Endogenous,No,Large,High,SVM-163;SVM-162,,Users; society; developers,Simulate long-term interactions and assess feedback loops,
SVM-223,Model performance equity metrics,Measures for equitable performance across groups,Quality engineering,Social,Development,Endogenous,No,Large,Critical,SVM-061;SVM-148,,Marginalized communities; developers; regulators,Include equity metrics in acceptance criteria,
SVM-224,Governance for emergent capability discovery,Processes to handle discovery of unanticipated capabilities,Risk management,Governance,Operation,Endogenous,No,Large,Critical,SVM-121;SVM-122,,Developers; regulators; society,Require immediate escalation and capability pause procedures,
SVM-225,Policies for dataset deletion requests,Handling requests to remove data from training corpora,Regulatory compliance,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-055;SVM-218,,Individuals; developers; regulators,Define deletion workflows and communication processes,
SVM-226,Testing for privacy leakage via APIs,Assessing whether API outputs leak training data,Safety engineering,Epistemic,Operation,Endogenous,No,Large,Critical,SVM-192;SVM-003,,Individuals; developers,Perform extraction tests and limit verbose outputs,
SVM-227,Standards for multi-stakeholder audits,Frameworks for involving external stakeholders in audits,Risk management,Governance,Operation,Endogenous,No,Moderate,High,SVM-151;SVM-133,,Society; regulators; developers,Develop standards and include community reps in audits,
SVM-228,Metrics for societal-scale harms,Measuring impacts like misinformation spread or social destabilization,Risk management,Social,Operation,Endogenous,No,Large,Critical,SVM-189;SVM-163,,Society; regulators; researchers,Develop macro-level monitoring and partnerships with researchers,
SVM-229,Product design choices that encourage risky use,UX patterns that nudge users to risky behaviors,Human factors engineering,Social,Deployment,Endogenous,No,Large,High,SVM-163;SVM-222,,Users; society; developers,Apply ethical UX review and nudge audits,
SVM-230,Access to model debugging tools,Who can use internal debuggers that reveal model internals,Systems architecture,Governance,Development,Endogenous,No,Moderate,High,SVM-103;SVM-135,,Developers; security teams,Restrict debug tools to vetted staff and log usage,
SVM-231,Interdependence of multiple models,Risks when several models interact in a system,Systems architecture,Epistemic,Operation,Endogenous,No,Moderate,High,SVM-121;SVM-092,,Developers; operators,Test interactions end-to-end and simulate cascades,
SVM-232,Default opt-in vs opt-out for data collection,Whether users are auto-enrolled in data sharing,Regulatory compliance,Governance,Operation,Endogenous,No,Moderate,High,SVM-099;SVM-003,,Users; regulators,Prefer opt-in and clear consent for data collection,
SVM-233,Granularity of monitoring metrics,Level of detail captured for monitoring model behavior,Systems architecture,Governance,Operation,Endogenous,Partial,Moderate,High,SVM-092;SVM-094,,Developers; operators,Capture fine-grained metrics but balance privacy,
SVM-234,Legal jurisdiction for contracts with vendors,Governing law clauses affecting enforcement,Regulatory compliance,Governance,Operation,Endogenous,Partial,Small,Medium,SVM-126;SVM-067,,Developers; legal teams,Use favorable jurisdictions and clear dispute resolution,
SVM-235,Ethics review committee independence,Degree to which ethics boards are independent from product teams,Risk management,Governance,Development,Endogenous,No,Moderate,High,SVM-134;SVM-133,,Developers; society,Ensure independence and external membership,
SVM-236,Mechanisms to prevent model laundering,Preventing transfer of capabilities through intermediate releases,Risk management,Governance,Deployment,Endogenous,No,Large,Critical,SVM-033;SVM-072,,Society; regulators; developers,Track capability lineage and control staged releases,
SVM-237,Testing for long-term reward hacking,Assessing whether models find undesirable long-term strategies,Safety engineering,Epistemic,Development,Endogenous,No,Large,Critical,SVM-023;SVM-165,,Developers; society,Simulate long-horizon optimization and include constraint checks,
SVM-238,Use of private communications corpora,Training on emails chats or messages without consent,Data science,Epistemic,Development,Endogenous,No,Large,Critical,SVM-003;SVM-014,,Individuals; developers,Exclude private communications unless consent obtained,
SVM-239,Standards for labeling sensitive categories,How to label trauma sexual content medical info safely,Human factors engineering,Social,Development,Endogenous,No,Moderate,High,SVM-006;SVM-008,,Annotators; affected communities,Consult domain experts and create sensitive labeling protocols,
SVM-240,Provenance of scraped datasets,Traceable lineage from web scraping to training use,Data science,Epistemic,Development,Endogenous,No,Large,Critical,SVM-001;SVM-111,,Developers; content creators; individuals,Maintain scrape manifests and legal reviews,
SVM-E001,Data centre energy consumption at scale,Aggregate electricity demand from AI training and inference operations exceeding national grid capacity,Energy management engineering,Ecological,Operation,Exogenous,Partial,Large,Critical,SVM-E002;SVM-E003;SVM-076,SVM-036;SVM-E008,Societies; grid operators; developers,Enforce energy caps; require renewable matching; mandate reporting,
SVM-E002,Carbon emissions from AI training runs,Greenhouse gas emissions produced during large-scale model training,Carbon accounting,Ecological,Training,Exogenous,Partial,Large,Critical,SVM-076;SVM-E003,SVM-E001,Planet; societies; climate-vulnerable communities,Scope 1/2/3 tracking per training run; efficiency mandates,
SVM-E003,Embodied carbon in AI hardware,CO2e locked into manufacturing and transporting AI chips and servers before a single inference runs,Embodied carbon analysis,Ecological,Fabrication,Exogenous,No,Large,Critical,SVM-E002;SVM-E009,SVM-E005,Planet; hardware manufacturers; developers,Lifecycle assessment at procurement; supplier decarbonization pressure,
SVM-E004,Water consumption for data centre cooling,Freshwater withdrawal and consumption for cooling AI infrastructure,Water usage effectiveness,Ecological,Operation,Exogenous,Partial,Large,Critical,SVM-E001;SVM-E008,SVM-E012,Communities near data centres; water-stressed regions,WUE reporting; transition to air cooling; site water risk assessment,
SVM-E005,Semiconductor supply chain concentration,Dependency on three firms for frontier AI chip fabrication creating single points of failure,Semiconductor process engineering,Physical,Fabrication,Exogenous,No,Large,Critical,SVM-E006;SVM-E009;SVM-173,SVM-E011,Nations; developers; society,Diversify fabrication geography; invest in alternative suppliers,
SVM-E006,Compute concentration in hyperscalers,Control of AI training infrastructure by five or fewer firms creating systemic dependency,Data center operations,Economic,Operation,Exogenous,No,Large,Critical,SVM-036;SVM-E007,SVM-E005,Smaller developers; nations; society,Antitrust review; public compute access; distributed infrastructure investment,
SVM-E007,Circular capital flows in AI investment,Hyperscalers fund AI developers who purchase compute from hyperscalers creating illusion of organic demand,Program management,Economic,Operation,Exogenous,No,Large,Critical,SVM-E006;SVM-E001,SVM-E006,Investors; society; smaller developers,Financial systemic risk monitoring; disclosure of circular investment structures,
SVM-E008,AI infrastructure climate feedback loop,Climate change destabilizes the physical infrastructure AI depends on while AI accelerates climate change,Environmental engineering,Ecological,Operation,Exogenous,No,Large,Critical,SVM-E001;SVM-E004;SVM-076,,Planet; societies; developers,Bidirectional climate-AI risk assessment; infrastructure resilience planning,
SVM-E009,Critical mineral dependency for AI hardware,AI chip and server manufacturing depends on rare earths and conflict minerals with concentrated and fragile supply chains,Conflict minerals compliance,Physical,Extraction,Exogenous,Partial,Large,Critical,SVM-E003;SVM-E005;SVM-173,,Nations; mining communities; developers,Mineral provenance tracking; circular economy engineering; supply diversification,
SVM-E010,Third-party data supply chain opacity,Training datasets sourced through brokers and aggregators with unknown provenance and consent status,Strategic sourcing,Epistemic,Development,Exogenous,No,Large,Critical,SVM-001;SVM-106;SVM-191,,Individuals; developers; regulators,Mandatory supply chain disclosure; data provenance audits,
SVM-E011,Geopolitical export control fragmentation,Diverging national export controls on AI chips and models creating regulatory arbitrage and supply chain ruptures,Export control compliance,Governance,Deployment,Exogenous,Partial,Large,Critical,SVM-144;SVM-126;SVM-E005,,Nations; developers; smaller economies,International coordination on export control standards; sovereignty risk mapping,
SVM-E012,Subsea cable vulnerability,AI data traffic concentration on a small number of subsea cables creating catastrophic single points of failure,Cabling infrastructure engineering,Physical,Operation,Exogenous,No,Large,Critical,SVM-E006;SVM-E001,,Nations; internet users; operators,Cable route diversification; protection zone enforcement; redundancy mandates,
SVM-E013,Shadow AI proliferation,Ungoverned use of AI tools by employees and individuals outside any institutional oversight creating invisible risk networks,Systems architecture,Governance,Operation,Exogenous,No,Large,High,SVM-103;SVM-034;SVM-054,,Organizations; individuals; regulators,Visibility-first governance; acceptable use frameworks; shadow AI detection tooling,
SVM-E014,Agentic AI governance gap,Autonomous AI agents that plan reason and act across systems without human mediation and outside existing governance frameworks,Systems architecture,Governance,Operation,Exogenous,No,Large,Critical,SVM-121;SVM-047;SVM-090,,Society; operators; individuals,Agentic identity frameworks; interaction layer governance; human override mandates,
SVM-E015,Multi-agent cascade risk,Unpredictable emergent behaviors when multiple autonomous AI systems interact with each other without human mediation,Systems architecture,Epistemic,Operation,Exogenous,No,Large,Critical,SVM-231;SVM-121;SVM-E014,,Operators; society; developers,End-to-end interaction testing; cascade simulation; kill-switch requirements,
SVM-E016,Regulatory arbitrage across jurisdictions,Firms locating AI development and deployment in jurisdictions with weakest governance to avoid compliance costs,Regulatory compliance,Governance,Operation,Exogenous,No,Large,Critical,SVM-126;SVM-E011,,Societies; regulators; affected communities,Extraterritorial governance frameworks; mutual recognition agreements,
SVM-E017,AI financial systemic risk,Semiconductor and hyperscaler firms functioning as net transmitters of systemic financial risk with 79 percent connectedness index,Cost analysis engineering,Economic,Operation,Exogenous,No,Large,Critical,SVM-E006;SVM-E007,,Financial system; investors; societies,Financial stability monitoring of AI-linked assets; stress testing of hyperscaler concentration,
SVM-E018,Rebound effect from AI efficiency gains,Efficiency improvements from AI enabling higher consumption elsewhere negating emissions savings,Environmental engineering,Ecological,Operation,Exogenous,No,Large,High,SVM-E001;SVM-E002;SVM-076,,Planet; societies; policymakers,Rebound effect monitoring; absolute consumption caps rather than efficiency targets only,
SVM-E019,E-waste from AI hardware cycles,Accelerating hardware refresh cycles driven by AI capability competition generating toxic electronic waste,E-waste management,Ecological,Retirement,Exogenous,Partial,Large,High,SVM-E009;SVM-E003,,Communities near disposal sites; planet,Extended producer responsibility; circular economy requirements; right to repair,
SVM-E020,AI literacy deficit in governance bodies,Regulators and legislators lack sufficient understanding of AI systems to govern them effectively creating structural knowledge capture,Human factors engineering,Epistemic,Cross-cutting,Exogenous,No,Large,Critical,SVM-E016;SVM-217,,Society; regulators; affected communities,Mandatory technical capacity building in regulatory bodies; independent technical advisory panels,
SVM-E021,Epistemic capture by industry,The people who understand AI systems best are the people building them creating structural conflict of interest in governance,Program management,Epistemic,Cross-cutting,Reflexive,No,Large,Critical,SVM-E020;SVM-042;SVM-219,,Society; regulators; researchers,Independent research funding; access for external researchers; mandatory disclosure,
