ID,Variable,Short definition,Stage,Governed,Regulatory gap,Rate of risk,Suggested mitigation
218,Data subject rights handling,"Mechanisms to handle deletion, access requests from individuals",Legal/Compliance,Partial,Moderate,High,Implement DSAR processes and interfaces
219,Undocumented incentives in research funding,Funding rules that bias toward sensational results,Team & Processes,No,Moderate,Medium,Promote funding for safety and replication studies
220,Use of heuristics in data cleaning,Manual heuristics applied during preprocessing without docs,Data,No,Moderate,High,Document heuristics and test impacts
221,Model prompt engineering corpora leakage,Risk that internal prompt libraries leak and reveal unsafe steering,Tooling & Infrastructure,No,Moderate,High,"Restrict access, log usage, and redact sensitive prompts"
222,Testing for co-adaptation with user behavior,Assessing models that adapt to users and create dependency loops,Evaluation,No,Large,High,Simulate long-term interactions and assess feedback loops
223,Model performance equity metrics,Measures for equitable performance across groups,Evaluation,No,Large,Critical/Urgent,Include equity metrics in acceptance criteria
224,Governance for emergent capability discovery,Processes to handle discovery of capabilities not anticipated,Governance,No,Large,Critical/Urgent,Require immediate escalation and capability pause procedures
225,Policies for dataset deletion requests,Handling requests to remove data from training corpora,Legal/Compliance,Partial,Moderate,High,Define deletion workflows and communication processes
226,Testing for privacy leakage via APIs,Assessing whether API outputs leak training data,Evaluation,No,Large,Critical/Urgent,Perform extraction tests and limit verbose outputs
227,Standards for multi-stakeholder audits,Frameworks for involving external stakeholders in audits,Governance,No,Moderate,High,Develop standards and include community reps in audits
228,Metrics for societal-scale harms,Measuring impacts like misinformation spread or social destabilization,Evaluation,No,Large,Critical/Urgent,Develop macro-level monitoring and partnerships with researchers
229,Product design choices that encourage risky use,UX patterns that nudge users to risky behaviors,Model Design,No,Large,High,Apply ethical UX review and nudge audits
230,Access to model debugging tools,Who can use internal debuggers that reveal model internals,Tooling & Infrastructure,No,Moderate,High,Restrict debug tools to vetted staff and log usage
231,Interdependence of multiple models,Risks when several models interact in a system,Model Design,No,Moderate,High,Test interactions end-to-end and simulate cascades
232,Default opt-in vs opt-out for data collection,Whether users are auto-enrolled in data sharing,Policy,No,Moderate,High,Prefer opt-in and clear consent for data collection
233,Granularity of monitoring metrics,Level of detail captured for monitoring model behavior,Tooling & Infrastructure,Partial,Moderate,High,Capture fine-grained metrics but balance privacy
234,Legal jurisdiction for contracts with vendors,Governing law clauses affecting enforcement,Legal/Compliance,Partial,Small,Medium,Use favorable jurisdictions and clear dispute resolution
235,Ethics review committee independence,Degree to which ethics boards are independent from product teams,Governance,No,Moderate,High,Ensure independence and external membership
236,Mechanisms to prevent model laundering,Preventing transfer of capabilities through intermediate releases,Policy,No,Large,Critical/Urgent,Track capability lineage and control staged releases
237,Testing for long-term reward hacking,Assessing whether models find undesirable long-term strategies,Evaluation,No,Large,Critical/Urgent,Simulate long-horizon optimization and include constraint checks
238,Use of private communications corpora,"Training on emails, chats, or messages without consent",Data,No,Large,Critical/Urgent,Exclude private communications unless consent obtained and protected
239,Standards for labeling sensitive categories,"How to label trauma, sexual content, medical info safely",Data,No,Moderate,High,Consult domain experts and create sensitive labeling protocols
240,Provenance of scraped datasets,Traceable lineage from web scraping to training use,Data,No,Large,Critical/Urgent,Maintain scrape manifests and legal reviews
